2017-10-07 15:25:20 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
2017-10-07 15:25:20 install insserv:armhf <none> 1.14.0-5ubuntu3
2017-10-07 15:25:20 status half-installed insserv:armhf 1.14.0-5ubuntu3
2017-10-07 15:25:20 status unpacked insserv:armhf 1.14.0-5ubuntu3
2017-10-07 15:25:20 status unpacked insserv:armhf 1.14.0-5ubuntu3
2017-10-07 15:25:20 install libacl1:armhf <none> 2.2.52-3
2017-10-07 15:25:20 status half-installed libacl1:armhf 2.2.52-3
2017-10-07 15:25:20 status unpacked libacl1:armhf 2.2.52-3
2017-10-07 15:25:20 status unpacked libacl1:armhf 2.2.52-3
2017-10-07 15:25:20 install libapparmor1:armhf <none> 2.10.95-0ubuntu2
2017-10-07 15:25:20 status half-installed libapparmor1:armhf 2.10.95-0ubuntu2
2017-10-07 15:25:21 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2017-10-07 15:25:21 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2017-10-07 15:25:21 install libattr1:armhf <none> 1:2.4.47-2
2017-10-07 15:25:21 status half-installed libattr1:armhf 1:2.4.47-2
2017-10-07 15:25:21 status unpacked libattr1:armhf 1:2.4.47-2
2017-10-07 15:25:21 status unpacked libattr1:armhf 1:2.4.47-2
2017-10-07 15:25:21 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 install libaudit1:armhf <none> 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 status half-installed libaudit1:armhf 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2017-10-07 15:25:21 install libblkid1:armhf <none> 2.27.1-6ubuntu3
2017-10-07 15:25:21 status half-installed libblkid1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:21 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:21 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:21 install libbz2-1.0:armhf <none> 1.0.6-8
2017-10-07 15:25:21 status half-installed libbz2-1.0:armhf 1.0.6-8
2017-10-07 15:25:22 status unpacked libbz2-1.0:armhf 1.0.6-8
2017-10-07 15:25:22 status unpacked libbz2-1.0:armhf 1.0.6-8
